Model,Type,Accuracy,AUC,LogLoss,Precision,Recall,F1_Score
Logistic,val,0.6526,0.7217,1.0334,0.6914,0.6957,0.6935
Random Forest,val,0.6702,0.7202,1.0054,0.7161,0.6894,0.7025
XGBoost,val,0.6632,0.7175,0.9425,0.7305,0.6398,0.6821
SVM,val,0.6632,0.7229,0.9346,0.7211,0.6584,0.6883
Logistic,test,0.7509,0.8148,1.1034,0.7778,0.7628,0.7702
Random Forest,test,0.7474,0.821,1.0485,0.8088,0.7051,0.7534
XGBoost,test,0.7193,0.7941,0.9859,0.7879,0.6667,0.7222
SVM,test,0.7263,0.7903,0.9875,0.7671,0.7179,0.7417
Ensemble,val,0.6526,0.7278,0.9745,0.7095,0.6522,0.6796
Ensemble,test,0.7614,0.8244,1.0287,0.8143,0.7308,0.7703
